,Fuel_type,Body_type,transmission,ownerNo,brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,seat,Color,city
7567,Diesel,SUV,Manual,1,Toyota,Toyota Fortuner,2013,15.55,Third Party insurance,150000.0,13.0,2982,7,Others,Jaipur
7568,Diesel,Sedan,Automatic,2,Audi,Audi A6,2013,14.5,Third Party insurance,40000.0,17.68,1968,5,Others,Jaipur
7569,Petrol,Hatchback,Automatic,2,Renault,Renault KWID,2019,3.7,Third Party insurance,30000.0,23.01,999,5,Black,Jaipur
7570,Diesel,SUV,Automatic,1,Kia,Kia Seltos,2019,15.25,Comprehensive,44354.0,18.0,1493,5,Grey,Jaipur
7571,Petrol,Hatchback,Manual,2,Renault,Renault KWID,2016,2.9,Comprehensive,65000.0,23.01,999,5,White,Jaipur
7572,Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2016,5.25,Comprehensive,79700.0,28.4,1248,5,Grey,Jaipur
7573,Diesel,MUV,Manual,2,Toyota,Toyota Innova,2007,2.85,Third Party insurance,120000.0,12.8,2494,8,Silver,Jaipur
7574,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,6.5,Third Party insurance,30000.0,21.4,1197,5,Others,Jaipur
7575,Diesel,SUV,Automatic,1,Kia,Kia Sonet,2021,13.25,Comprehensive,45204.0,18.59550782650257,1493,5,White,Jaipur
7576,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,5.75,Comprehensive,81000.0,22.54,1396,5,Grey,Jaipur
7577,Petrol,Sedan,Manual,1,Honda,Honda City,2008,1.7,Third Party insurance,120000.0,17.7,1497,5,Others,Jaipur
7578,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Grand i10 Nios,2020,5.9,Third Party insurance,40000.0,20.7,1197,5,Others,Jaipur
7579,Petrol,Hatchback,Automatic,2,Hyundai,Hyundai i20,2019,7.53,Zero Dep,33236.0,17.4,1197,5,White,Jaipur
7580,Petrol,Hatchback,Automatic,2,Hyundai,Hyundai Grand i10,2014,4.25,Third Party insurance,50000.0,18.9,1197,5,White,Jaipur
7581,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,5.87,Comprehensive,47214.0,21.4,1197,5,Others,Jaipur
7582,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Grand i10 Nios,2019,5.8,Third Party insurance,54670.0,20.7,1197,5,White,Jaipur
7583,Petrol,Sedan,Manual,2,Honda,Honda Amaze,2018,5.3,Third Party insurance,30000.0,17.8,1198,5,Others,Jaipur
7584,Diesel,SUV,Manual,1,Mahindra,Mahindra Bolero,2013,4.0,Third Party insurance,120000.0,15.96,2523,7,Others,Jaipur
7585,Petrol,Sedan,Manual,2,Tata,Tata Zest,2016,3.0,Third Party insurance,120000.0,17.57,1193,5,White,Jaipur
7586,Diesel,SUV,Automatic,1,Toyota,Toyota Fortuner,2015,15.95,Comprehensive,125000.0,12.55,2982,7,Grey,Jaipur
7587,Diesel,Sedan,Manual,1,Ford,Ford Aspire,2017,3.8,Third Party insurance,100000.0,25.83,1498,5,Others,Jaipur
7588,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2017,6.25,Comprehensive,57000.0,18.6,1197,5,White,Jaipur
7589,Lpg,Hatchback,Manual,2,Chevrolet,Chevrolet Spark,2011,1.6,Third Party insurance,70000.0,16.0,995,5,Others,Jaipur
7590,Diesel,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2017,5.25,Third Party insurance,120000.0,20.14,1498,5,Others,Jaipur
7591,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2022,8.5,Third Party insurance,30000.0,22.35,1197,5,Others,Jaipur
7592,Diesel,SUV,Manual,2,Ford,Ford Endeavour,2008,3.9,Third Party insurance,120000.0,11.4,2953,7,Black,Jaipur
7593,Petrol,SUV,Manual,1,Kia,Kia Seltos,2021,14.9,Third Party insurance,3844.0,16.8,1497,5,White,Jaipur
7594,Diesel,Sedan,Manual,4,Chevrolet,Chevrolet Cruze,2011,1.9,Third Party insurance,120000.0,18.3,1991,5,Gray,Jaipur
7595,Petrol,Hatchback,Manual,1,Renault,Renault KWID,2020,3.75,Comprehensive,50000.0,21.46,999,5,Brown,Jaipur
7596,Petrol,SUV,Manual,3,Honda,Honda CR-V,2008,1.8,Third Party insurance,120000.0,13.1,2354,5,Others,Jaipur
7597,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2015,9.5,Third Party insurance,80000.0,16.0,1997,7,Others,Jaipur
7598,Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2012,3.83,Comprehensive,94554.0,22.41,1197,5,White,Jaipur
7599,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2021,7.13,Zero Dep,15991.0,21.01,1197,5,Silver,Jaipur
7600,Diesel,SUV,Manual,3,Mahindra,Mahindra Scorpio,2013,5.2,Third Party insurance,70000.0,12.05,2179,7,Others,Jaipur
7601,Diesel,Sedan,Automatic,1,Maruti,Maruti Swift Dzire,2017,6.55,Third Party insurance,72918.0,28.4,1248,5,Silver,Jaipur
7602,Petrol,Hatchback,Automatic,1,Datsun,Datsun RediGO,2018,3.13,Comprehensive,22982.0,22.5,999,5,Others,Jaipur
7603,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2015,5.75,Comprehensive,76000.0,22.54,1396,5,White,Jaipur
7604,Diesel,Sedan,Manual,1,Skoda,Skoda Rapid,2017,6.75,Third Party insurance,115000.0,21.13,1498,5,Grey,Jaipur
7605,Diesel,SUV,Manual,1,Maruti,Maruti Vitara Brezza,2018,8.25,Comprehensive,73000.0,24.3,1248,5,White,Jaipur
7606,Diesel,SUV,Automatic,2,Ford,Ford Endeavour,2016,20.75,Third Party insurance,90000.0,12.62,2198,7,Others,Jaipur
7607,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Santro,2019,4.45,Third Party insurance,30000.0,20.3,1086,5,Others,Jaipur
7608,Diesel,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2014,3.5,Third Party insurance,80000.0,24.0,1120,5,Others,Jaipur
7609,Petrol,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz AMG GLC 43,2022,90.0,Comprehensive,23200.0,18.59550782650257,2996,5,Black,Jaipur
7610,Petrol,SUV,Manual,1,Skoda,Skoda Kushaq,2022,13.0,Third Party insurance,10000.0,19.2,999,5,White,Jaipur
7611,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2012,3.3,Third Party insurance,120000.0,15.1,2179,7,Others,Jaipur
7612,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10 Nios,2022,7.5,Third Party insurance,10000.0,20.7,1197,5,Others,Jaipur
7613,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10 Nios,2022,7.5,Third Party insurance,10000.0,20.7,1197,5,Others,Jaipur
7614,Petrol,MUV,Manual,1,Renault,Renault Triber,2020,6.7,Third Party insurance,30000.0,20.0,999,7,Others,Jaipur
7615,Petrol,SUV,Manual,1,Maruti,Maruti Vitara Brezza,2022,8.95,Third Party insurance,20000.0,17.03,1462,5,Others,Jaipur
7616,Petrol,Hatchback,Manual,1,Chevrolet,Chevrolet Aveo U-VA,2007,90.0,Third Party insurance,60000.0,15.26,1150,5,Others,Jaipur
7617,Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2017,3.65,Comprehensive,107963.0,26.0,998,5,White,Jaipur
7618,Diesel,SUV,Manual,2,Renault,Renault Duster,2012,3.47,Third Party,121243.0,19.01,1461,5,Others,Jaipur
7619,Diesel,SUV,Manual,1,Tata,Tata Harrier,2020,14.7,Third Party insurance,100000.0,17.0,1956,5,White,Jaipur
7620,Petrol,Hatchback,Manual,1,Honda,Honda Brio,2015,3.09,Comprehensive,67194.0,19.4,1198,5,Others,Jaipur
7621,Petrol,Sedan,Manual,2,Honda,Honda City,2016,5.86,Comprehensive,69236.0,17.8,1497,5,Silver,Jaipur
7622,Diesel,SUV,Manual,1,Honda,Honda WR-V,2019,9.0,Third Party insurance,80000.0,25.5,1498,5,Others,Jaipur
7623,Petrol,SUV,Manual,2,Jeep,Jeep Compass,2018,9.0,Third Party insurance,90000.0,16.0,1368,5,Others,Jaipur
7624,Diesel,SUV,Manual,1,MG,MG Hector,2020,15.5,Third Party insurance,60000.0,17.41,1956,5,Others,Jaipur
7625,Diesel,SUV,Automatic,2,Land Rover,Land Rover Discovery Sport,2017,23.0,Third Party insurance,80000.0,12.83,1999,7,White,Jaipur
7626,Diesel,SUV,Automatic,2,Land Rover,Land Rover Range Rover Evoque,2016,32.0,Comprehensive,81317.0,15.68,1999,5,Red,Jaipur
7627,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i10,2015,2.55,Third Party insurance,60000.0,20.36,1197,5,Others,Jaipur
7628,Diesel,SUV,Manual,1,Renault,Renault Duster,2015,3.55,Third Party insurance,80000.0,19.87,1461,5,White,Jaipur
7629,Diesel,SUV,Manual,2,Renault,Renault Duster,2018,6.5,Third Party insurance,60000.0,19.87,1461,5,Others,Jaipur
7630,Diesel,Hatchback,Manual,3,Hyundai,Hyundai Grand i10,2014,2.75,Third Party insurance,110000.0,24.0,1120,5,Others,Jaipur
7631,Diesel,Sedan,Manual,2,Ford,Ford Fiesta Classic,2011,1.5,Third Party insurance,120000.0,19.68,1399,5,Others,Jaipur
7632,Diesel,SUV,Automatic,2,Hyundai,Hyundai Creta,2017,9.0,Third Party insurance,110000.0,17.01,1582,5,Others,Jaipur
7633,Diesel,Sedan,Automatic,1,BMW,BMW 5 Series,2017,25.0,Third Party insurance,100000.0,20.37,1995,5,Others,Jaipur
7634,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2018,6.0,Comprehensive,57000.0,22.0,1197,5,White,Jaipur
7635,Diesel,Sedan,Automatic,2,BMW,BMW 3 Series,2013,9.75,Third Party insurance,70000.0,18.88,1995,5,Gray,Jaipur
7636,Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2014,4.75,Comprehensive,76000.0,28.4,1248,5,White,Jaipur
7637,Petrol,Hatchback,Automatic,2,Maruti,Maruti Swift,2021,8.01,Zero Dep,7183.0,22.56,1197,5,Red,Jaipur
7638,Petrol,SUV,Automatic,3,Hyundai,Hyundai Creta,2021,15.74,Third Party,6165.0,18.59550782650257,1353,5,Others,Jaipur
7639,Diesel,Sedan,Manual,2,Skoda,Skoda Rapid,2012,3.5,Comprehensive,85000.0,20.5,1598,5,Silver,Jaipur
